"site_id","year","quarter","kelp","no3","waves","NPGO","MEI","PDO"
1,1987,1,0,5.08,3.638,0.58,1.2,1.65
2,1987,1,23572,5.29,6.818,0.58,1.2,1.65
3,1987,1,771,4.62,4.519,0.58,1.2,1.65
4,1987,1,1856,4.71,4.4,0.58,1.2,1.65
5,1987,1,0,4.43,4.351,0.58,1.2,1.65
6,1987,1,10423,4.42,4.391,0.58,1.2,1.65
7,1987,1,735,4.36,4.068,0.58,1.2,1.65
8,1987,1,1308,4.35,3.946,0.58,1.2,1.65
9,1987,1,0,4.4,3.794,0.58,1.2,1.65
10,1987,1,3266,4.31,3.636,0.58,1.2,1.65
11,1987,1,1475,4.28,3.476,0.58,1.2,1.65
12,1987,1,2956,4.25,3.883,0.58,1.2,1.65
13,1987,1,12628,4.06,3.383,0.58,1.2,1.65
14,1987,1,32446,4.1,4.324,0.58,1.2,1.65
15,1987,1,699,4.04,2.719,0.58,1.2,1.65
16,1987,1,3240,3.98,3.346,0.58,1.2,1.65
17,1987,1,95952,3.98,3.105,0.58,1.2,1.65
18,1987,1,10328,3.95,3.198,0.58,1.2,1.65
19,1987,1,17976,3.97,2.79,0.58,1.2,1.65
20,1987,1,1620,4.1,3.004,0.58,1.2,1.65
21,1987,1,866,4.14,3.039,0.58,1.2,1.65
22,1987,1,1551,4.22,0.773,0.58,1.2,1.65
23,1987,1,5377,4.06,1.491,0.58,1.2,1.65
24,1987,1,41727,4.06,1.453,0.58,1.2,1.65
25,1987,1,14334,4.06,3.358,0.58,1.2,1.65
26,1987,1,61582,4.13,2.644,0.58,1.2,1.65
27,1987,1,2089,4.13,3.566,0.58,1.2,1.65
28,1987,1,384,4.14,4.744,0.58,1.2,1.65
29,1987,1,178,4.16,5.9,0.58,1.2,1.65
30,1987,1,0,4.15,5.888,0.58,1.2,1.65
31,1987,1,0,4.25,6.517,0.58,1.2,1.65
32,1987,1,0,4.36,5.925,0.58,1.2,1.65
33,1987,1,0,4.3,5.644,0.58,1.2,1.65
34,1987,1,14166,4.34,5.416,0.58,1.2,1.65
35,1987,1,17036,4.34,7.09,0.58,1.2,1.65
36,1987,1,147526,4.03,4.414,0.58,1.2,1.65
37,1987,1,35496,4.03,5.757,0.58,1.2,1.65
38,1987,1,149889,4.03,4.925,0.58,1.2,1.65
39,1987,1,112200,4.02,3.911,0.58,1.2,1.65
40,1987,1,92676,4.24,3.909,0.58,1.2,1.65
41,1987,1,67945,3.68,2.858,0.58,1.2,1.65
42,1987,1,50385,3.68,3.757,0.58,1.2,1.65
43,1987,1,278156,3.68,3.849,0.58,1.2,1.65
44,1987,1,8161,3.68,2.371,0.58,1.2,1.65
45,1987,1,32007,3.39,1.532,0.58,1.2,1.65
46,1987,1,55844,3.38,2.826,0.58,1.2,1.65
47,1987,1,4431,3.53,7.229,0.58,1.2,1.65
48,1987,1,10571,3.53,5.509,0.58,1.2,1.65
49,1987,1,84577,3.56,4.249,0.58,1.2,1.65
50,1987,1,30277,3.29,4.018,0.58,1.2,1.65
51,1987,1,4822,3.29,5.885,0.58,1.2,1.65
52,1987,1,15884,3.56,8.018,0.58,1.2,1.65
53,1987,1,416,3.58,6.516,0.58,1.2,1.65
54,1987,1,34120,3.41,5.193,0.58,1.2,1.65
55,1987,1,28278,3.43,5.088,0.58,1.2,1.65
56,1987,1,1192,3.43,6.084,0.58,1.2,1.65
