"site_id","year","quarter","kelp","no3","waves","NPGO","MEI","PDO","mean_surf_temp"
1,1987,1,0,5.08,3.638,0.58,1.2,1.65,14.108
2,1987,1,23572,5.29,6.818,0.58,1.2,1.65,14.108
3,1987,1,771,4.62,4.519,0.58,1.2,1.65,14.108
4,1987,1,1856,4.71,4.4,0.58,1.2,1.65,14.108
5,1987,1,0,4.43,4.351,0.58,1.2,1.65,14.108
6,1987,1,10423,4.42,4.391,0.58,1.2,1.65,14.108
7,1987,1,735,4.36,4.068,0.58,1.2,1.65,14.108
8,1987,1,1308,4.35,3.946,0.58,1.2,1.65,14.108
9,1987,1,0,4.4,3.794,0.58,1.2,1.65,14.108
10,1987,1,3266,4.31,3.636,0.58,1.2,1.65,14.108
11,1987,1,1475,4.28,3.476,0.58,1.2,1.65,14.108
12,1987,1,2956,4.25,3.883,0.58,1.2,1.65,14.108
13,1987,1,12628,4.06,3.383,0.58,1.2,1.65,14.108
14,1987,1,32446,4.1,4.324,0.58,1.2,1.65,14.108
15,1987,1,699,4.04,2.719,0.58,1.2,1.65,14.108
16,1987,1,3240,3.98,3.346,0.58,1.2,1.65,14.108
17,1987,1,95952,3.98,3.105,0.58,1.2,1.65,14.108
18,1987,1,10328,3.95,3.198,0.58,1.2,1.65,14.108
19,1987,1,17976,3.97,2.79,0.58,1.2,1.65,14.108
20,1987,1,1620,4.1,3.004,0.58,1.2,1.65,14.108
21,1987,1,866,4.14,3.039,0.58,1.2,1.65,14.108
22,1987,1,1551,4.22,0.773,0.58,1.2,1.65,14.108
23,1987,1,5377,4.06,1.491,0.58,1.2,1.65,14.108
24,1987,1,41727,4.06,1.453,0.58,1.2,1.65,14.108
25,1987,1,14334,4.06,3.358,0.58,1.2,1.65,14.108
26,1987,1,61582,4.13,2.644,0.58,1.2,1.65,14.108
27,1987,1,2089,4.13,3.566,0.58,1.2,1.65,14.108
28,1987,1,384,4.14,4.744,0.58,1.2,1.65,14.108
29,1987,1,178,4.16,5.9,0.58,1.2,1.65,14.108
30,1987,1,0,4.15,5.888,0.58,1.2,1.65,14.108
31,1987,1,0,4.25,6.517,0.58,1.2,1.65,14.108
32,1987,1,0,4.36,5.925,0.58,1.2,1.65,14.108
33,1987,1,0,4.3,5.644,0.58,1.2,1.65,14.108
34,1987,1,14166,4.34,5.416,0.58,1.2,1.65,14.108
35,1987,1,17036,4.34,7.09,0.58,1.2,1.65,14.108
36,1987,1,147526,4.03,4.414,0.58,1.2,1.65,14.108
37,1987,1,35496,4.03,5.757,0.58,1.2,1.65,14.108
38,1987,1,149889,4.03,4.925,0.58,1.2,1.65,14.108
39,1987,1,112200,4.02,3.911,0.58,1.2,1.65,14.108
40,1987,1,92676,4.24,3.909,0.58,1.2,1.65,14.108
41,1987,1,67945,3.68,2.858,0.58,1.2,1.65,14.108
42,1987,1,50385,3.68,3.757,0.58,1.2,1.65,14.108
43,1987,1,278156,3.68,3.849,0.58,1.2,1.65,14.108
44,1987,1,8161,3.68,2.371,0.58,1.2,1.65,14.108
45,1987,1,32007,3.39,1.532,0.58,1.2,1.65,14.108
46,1987,1,55844,3.38,2.826,0.58,1.2,1.65,14.108
47,1987,1,4431,3.53,7.229,0.58,1.2,1.65,14.108
48,1987,1,10571,3.53,5.509,0.58,1.2,1.65,14.108
49,1987,1,84577,3.56,4.249,0.58,1.2,1.65,14.108
50,1987,1,30277,3.29,4.018,0.58,1.2,1.65,14.108
51,1987,1,4822,3.29,5.885,0.58,1.2,1.65,14.108
52,1987,1,15884,3.56,8.018,0.58,1.2,1.65,14.108
53,1987,1,416,3.58,6.516,0.58,1.2,1.65,14.108
54,1987,1,34120,3.41,5.193,0.58,1.2,1.65,14.108
55,1987,1,28278,3.43,5.088,0.58,1.2,1.65,14.108
56,1987,1,1192,3.43,6.084,0.58,1.2,1.65,14.108
57,1987,1,14200,3.43,5.471,0.58,1.2,1.65,14.108
58,1987,1,41193,3.48,5.466,0.58,1.2,1.65,14.108
59,1987,1,42249,3.48,5.541,0.58,1.2,1.65,14.108
60,1987,1,14949,3.48,5.868,0.58,1.2,1.65,14.108
61,1987,1,5546,3.29,6.544,0.58,1.2,1.65,14.108
62,1987,1,21352,3.23,5.578,0.58,1.2,1.65,14.108
63,1987,1,5947,3.23,6.644,0.58,1.2,1.65,14.108
64,1987,1,64635,3.23,4.89,0.58,1.2,1.65,14.108
65,1987,1,0,3.22,6.24,0.58,1.2,1.65,14.108
66,1987,1,7204,3.46,5.64,0.58,1.2,1.65,14.108
67,1987,1,1202,3.31,5.107,0.58,1.2,1.65,14.108
68,1987,1,0,3.31,5.935,0.58,1.2,1.65,14.108
69,1987,1,1594,3.37,6.373,0.58,1.2,1.65,14.108
70,1987,1,51489,3.18,5.914,0.58,1.2,1.65,14.108
71,1987,1,18049,3.34,4.988,0.58,1.2,1.65,14.108
72,1987,1,1999,3.34,4.853,0.58,1.2,1.65,14.108
73,1987,1,53069,3.29,5.453,0.58,1.2,1.65,14.108
74,1987,1,0,3.31,6.562,0.58,1.2,1.65,14.108
75,1987,1,0,4.13,7.195,0.58,1.2,1.65,14.108
76,1987,1,18283,4.16,5.982,0.58,1.2,1.65,14.108
77,1987,1,84854,4.13,5.493,0.58,1.2,1.65,14.108
78,1987,1,31432,4.13,8.146,0.58,1.2,1.65,14.108
79,1987,1,43876,4.16,9.435,0.58,1.2,1.65,14.108
80,1987,1,64531,4.27,6.058,0.58,1.2,1.65,14.108
81,1987,1,3876,4.25,5.712,0.58,1.2,1.65,14.108
82,1987,1,1904,4.12,5.908,0.58,1.2,1.65,14.108
83,1987,1,938,4.1,5.433,0.58,1.2,1.65,14.108
84,1987,1,27016,3.76,3.378,0.58,1.2,1.65,14.108
85,1987,1,76979,3.92,3.133,0.58,1.2,1.65,14.108
86,1987,1,21156,3.92,3.288,0.58,1.2,1.65,14.108
87,1987,1,105250,4.03,3.029,0.58,1.2,1.65,14.108
88,1987,1,75388,4.14,3.345,0.58,1.2,1.65,14.108
89,1987,1,42227,4.03,3.651,0.58,1.2,1.65,14.108
90,1987,1,8296,4.14,3.815,0.58,1.2,1.65,14.108
91,1987,1,205513,4.14,3.613,0.58,1.2,1.65,14.108
92,1987,1,127110,4.14,2.953,0.58,1.2,1.65,14.108
93,1987,1,153222,4.15,2.425,0.58,1.2,1.65,14.108
94,1987,1,62484,4.15,3.121,0.58,1.2,1.65,14.108
95,1987,1,17398,4.15,2.945,0.58,1.2,1.65,14.108
96,1987,1,22914,4.15,3.416,0.58,1.2,1.65,14.108
97,1987,1,880,4.12,4.517,0.58,1.2,1.65,14.108
98,1987,1,574,4.08,4.279,0.58,1.2,1.65,14.108
99,1987,1,28505,4.09,3.38,0.58,1.2,1.65,14.108
100,1987,1,7934,4.09,3.964,0.58,1.2,1.65,14.108
101,1987,1,51087,4.08,4.361,0.58,1.2,1.65,14.108
102,1987,1,17489,3.67,4.172,0.58,1.2,1.65,14.108
103,1987,1,5555,4.08,4.635,0.58,1.2,1.65,14.108
104,1987,1,20460,3.71,5.716,0.58,1.2,1.65,14.108
105,1987,1,7851,3.71,4.606,0.58,1.2,1.65,14.108
106,1987,1,12815,3.76,5.062,0.58,1.2,1.65,14.108
107,1987,1,20122,3.78,4.057,0.58,1.2,1.65,14.108
108,1987,1,25335,3.78,4.67,0.58,1.2,1.65,14.108
109,1987,1,375,3.78,6.48,0.58,1.2,1.65,14.108
110,1987,1,900,3.92,4.899,0.58,1.2,1.65,14.108
111,1987,1,13015,3.92,4.731,0.58,1.2,1.65,14.108
112,1987,1,2859,3.81,4.132,0.58,1.2,1.65,14.108
113,1987,1,3403,3.73,3.616,0.58,1.2,1.65,14.108
114,1987,1,0,3.78,4.712,0.58,1.2,1.65,14.108
115,1987,1,0,3.56,5.631,0.58,1.2,1.65,14.108
116,1987,1,28064,3.69,5.653,0.58,1.2,1.65,14.108
117,1987,1,5854,3.69,5.9,0.58,1.2,1.65,14.108
118,1987,1,0,3.66,5.289,0.58,1.2,1.65,14.108
119,1987,1,3533,4.13,5.998,0.58,1.2,1.65,14.108
120,1987,1,917,4.13,5.3,0.58,1.2,1.65,14.108
121,1987,1,0,3.7,4.583,0.58,1.2,1.65,14.108
122,1987,1,0,3.69,3.787,0.58,1.2,1.65,14.108
123,1987,1,0,4.16,4.643,0.58,1.2,1.65,14.108
124,1987,1,0,3.83,4.026,0.58,1.2,1.65,14.108
125,1987,1,0,3.86,3.668,0.58,1.2,1.65,14.108
126,1987,1,0,4.18,4.593,0.58,1.2,1.65,14.108
127,1987,1,1598,4.18,4.015,0.58,1.2,1.65,14.108
128,1987,1,0,3.98,3.995,0.58,1.2,1.65,14.108
129,1987,1,0,3.99,4.449,0.58,1.2,1.65,14.108
130,1987,1,22366,3.83,4.407,0.58,1.2,1.65,14.108
131,1987,1,18348,3.83,4.933,0.58,1.2,1.65,14.108
132,1987,1,737,3.69,5.609,0.58,1.2,1.65,14.108
133,1987,1,0,3.68,6.296,0.58,1.2,1.65,14.108
134,1987,1,0,3.6,4.759,0.58,1.2,1.65,14.108
135,1987,1,0,3.59,5.514,0.58,1.2,1.65,14.108
136,1987,1,0,3.58,6.464,0.58,1.2,1.65,14.108
137,1987,1,0,3.58,6.074,0.58,1.2,1.65,14.108
138,1987,1,0,3.57,7.502,0.58,1.2,1.65,14.108
139,1987,1,0,3.46,5.278,0.58,1.2,1.65,14.108
140,1987,1,0,3.46,4.57,0.58,1.2,1.65,14.108
141,1987,1,0,3.4,5.228,0.58,1.2,1.65,14.108
142,1987,1,0,3.4,4.823,0.58,1.2,1.65,14.108
143,1987,1,0,3.39,5.326,0.58,1.2,1.65,14.108
144,1987,1,0,3.39,4.121,0.58,1.2,1.65,14.108
145,1987,1,0,3.41,4.876,0.58,1.2,1.65,14.108
146,1987,1,0,3.09,4.863,0.58,1.2,1.65,14.108
147,1987,1,0,3.09,4.81,0.58,1.2,1.65,14.108
